productAsin,ratingScore,reviewTitle,reviewReaction,reviewDescription,isVerified,category
1647222613,1.0,Could this BE any crappier?,,"This thing is awful- my girlfriend is a huge Friends fan and every day you just open different little cheap paper ornaments or gift tags. Everything is paper- it is terrible. We were so disappointed and just ready to get it over with- ugh. They could have been so much more creative with simple, inexpensive items and they just rip you off with little paper every day.",TRUE,humor_entertainment
1647222613,1.0,Find something else!!,,"Definitely not what I was expecting! You get a couple of stickers, gift tags, and quotes from the show. Nothing worth keeping. Don't waste your money!!",TRUE,humor_entertainment
1647222613,1.0,Waste of money,,Very disappointed for the price you pay all you get is a bunch of cheap paper and crap. Not worth the money I don't recommend wasting your money it's really not worth it.,TRUE,humor_entertainment
1647222613,1.0,Don't buy it. Complete garbage!,,"Complete waste of money. I knew going into this that it would probably be a bunch of useless things, but this was beyond my poor expectations. What was spread across 25 days could have been done in 5 because things just repeated themselves over and over. And they weren't even good things. Stickers, but really poor quality stickers. Recipe cards, I'm not sure I'll ever try one, but ok. Quotes, why do I need quotes or scene cards? Gift tags, I'll accept but when it is the gift more than once, it gets annoying. All in all, don't do it.",TRUE,humor_entertainment
1647222613,1.0,Not worth it,,Very few items that are worth keeping or giving away. Very disappointed,FALSE,humor_entertainment
1647222613,1.0,We're huge Friends fans,1.0,"My wife got this and early on she got a button to pin on, and she loves them. This made her excited to open more. By the end only 3 buttons. Most of the days are a picture from a scene of an episode (lame). There were a couple of recipe cards which were cool. So maybe 5-7 of the gifts out of 25 days were worth it, but mostly it was a big let down.",TRUE,humor_entertainment
1647222613,1.0,So disappointed,,"I had higher hopes for this, they are cheaply made and really don't fit ""keepsake"". They could have made the ornaments heavier and not just thin paper.",TRUE,humor_entertainment
1647222613,1.0,Waste of money,,This was way too much money to get paper each day. Very disappointing.,TRUE,humor_entertainment
1647222613,1.0,Had to wait 2 months for small trinkets. Expecting more for my money.,,"Was expecting it to be more than a pad of paper. And a very small pin etc. I was just expecting more for my money. Let down as a huge fan of friends. And I had to wait since September when I ordered, it’s almost thanksgiving.",TRUE,humor_entertainment
1647222613,1.0,Really lame,,Little effort put in to making this any fun or exciting.,TRUE,humor_entertainment
1647222613,1.0,waste of money,,"Worst $30 I've ever spent. The same things every other days. things include, stick notes, gift tags. I wouldn't recommend this to the biggest fan. I'm truly disappointed",TRUE,humor_entertainment
1647222613,1.0,A huge disappointment,,"First this arrived opened. Being a huge friends fan, i was really looking forward to this advent calendar. I was greatly disappointed. It's basically a bunch of paper cards with references to the show. I didn't have unrealistic expectations, but I would have liked to see something with better quality. It's not worth the money they charge, it's insanely over priced and a waste of money. I could have bought a cute Friends T-Shirt or mug instead. This was an insult to friends fans, it was a book of junk, things you could have printed off on your own printer. There was so much potential here and they completely missed out on it.",TRUE,humor_entertainment
1647222613,1.0,Don’t bother,,The calandar is nice quality but the gifts inside are rubbish! What a waste of money,TRUE,humor_entertainment
1647222613,1.0,Not worth it,,Not worth the price it was nothing special. I am highly disappointed because I love friends but I could of saved money. The items inside were not worth the price the pins the notecards picture nametags ... save your money,TRUE,humor_entertainment
1647222613,1.0,Don’t waste your money.,,This was very disappointing. My daughter loves the show and I got this for her. Several cheap cardboard ornaments and a couple of Christmas tags that the string broke. I think one ugly pin and a thin pack of post it notes are the “best” items. Just think they could have done so much better and made the items a little more exciting and less cheap. Would never buy an item like this again. Very disappointed. Would have give no stars if I could have.,TRUE,humor_entertainment
1647222613,1.0,Do not buy,,This was absolutely one of the worst purchases I have ever made. My kids were highly disappointed. Most of the days are paper ornaments. Do not buy - it is a ripe off. I’m so disappointed,TRUE,humor_entertainment
1647222613,1.0,Absolutely the worst advent calendar ever,5.0,"I was so excited to pre-order this as a surprise for my daughter to countdown to Christmas. I expected a daily pick me up to get through the end of this crazy year. Every single day is more depressing than the next. Wow, what is it? Oh another piece of paper with a Friends picture on one side and episode info on the other...one day a sticker, one day a paper ornament, but every day just a boring paper! I wouldn’t waste $5 on this. If I could return it, I would. It’s awful. Absolutely the worst advent calendar!",TRUE,humor_entertainment
1647222613,1.0,WASTE OF MONEY DO NOT PURCHASE,,"I am a huge friends fan. I paid 30 dollars and was very excited. I have opened all of the envelopes and most items were made of paper, nothing special, or exciting. Most if not all of the items could have been made using a few cents. Doesn’t do a great show like friends justice. They only gave small pins and other paper items, garbage basically.",TRUE,humor_entertainment
1647222613,1.0,Save your money!,,Full of little paper “things” - not worth the $.,TRUE,humor_entertainment
1647222613,1.0,Could this BE anymore disappointing??,,"I absolutely hate having to give this 1 star being such a huge Friends fan. I was so excited to preorder this, but even more disappointed when I got it and saw what's been in each day so far. It's kind of cute I guess, but as you can read from other reviewers, it's all cheap paper stuff. I'm not sure what I was expecting, but it's not worth the price. I would have actually paid more for better quality items.",TRUE,humor_entertainment
1647222613,1.0,Not worth it,,"Very disappointing! Definitely don’t get your money’s worth. Everything is cheap, not sure why I’d get an advent calendar so I can give the items to someone else",TRUE,humor_entertainment
1647222613,1.0,So not worth it,,The book it’s self is good quality but the gifts are a joke. I was so excited about this and it was a splurge but now I’m full of regret and disappointment over it. Day one was super cute but other then that it’s pretty crappy,TRUE,humor_entertainment
1647222613,1.0,Great Idea/Concept...Poor Execution,,"I am not sure how this has 4.3 stars. For a Friends fan, huge disappointment. The idea is great but the execution failed, miserably! A lot of cheap paper ornaments/ gift tags/ movie lines. Things that I could have easily just printed myself if I wanted them that bad. Would not purchase again or recommend.",TRUE,humor_entertainment
1647222613,1.0,not worth it,,It's pretty much just paper. Totally not worth what I paid for it.,FALSE,humor_entertainment
1647222613,1.0,The one that wasn't worth the money.,1.0,"If you want to wake up every day and be excited about finding out what new treasure this advent calendar has for you only to be reminded daily about what a miserable failure this product is then this is the advent calendar for you. We have purchased advent calendars in the past and this is by far the worst one yet. Every other one we have done has had trinkets and tangible items that were at least fun. This is a bunch of crappy paper products that frankly don't live up to a $20 price tag. Stickers and cardboard is all there is to be had here. Skip this and spend your money on a Lego or Funko advent calendar, because those are at least worth the $$. This was/is pure disappointment and it reminded us of this fact every single day.",TRUE,humor_entertainment
1647222613,1.0,Cheap and disappointing.,,"Too many cheap paper tags, ornaments and scene quote cards. Cute idea to do a Friends advent but I would have expected something from it to be a quality keepsake of some sort. The book cover was good and the only thing I really liked was the sticky notes.",TRUE,humor_entertainment
1647222613,1.0,The One Where We Got Ripped Off,,"I'm so disappointed and just annoyed. I'm a huge fan of FRIENDS so I was so excited to see an advent calendar thinking it would be like little trinkets like most advent calendars are. NOPE, it was little ornaments, gift tags?, stickers etc. just a waste if money.",TRUE,humor_entertainment
1647222613,1.0,Kind of a waste of money,,I wasn't a big fan of this advent calendar. Dont get me wrong I LOVE Friends but this was a bit of a waste of money. All you got in it was a bunch of paper items and 2 pins. All of the things were pretty cheap and at the end of the day useless and will probably end up in the trash. I wouldn't pay $18 for it again.,TRUE,humor_entertainment
1647222613,1.0,Salt???,,"I was super excited about this, but when it came the package was FILLED with salt?!?! Not excited about that at all…",TRUE,humor_entertainment
1647222613,1.0,Very disappointed,,It’s literally nothing but paper photos of scenes from the show. Very disappointed,TRUE,humor_entertainment
